Questions,Anwsers
What is the difference between supervised and unsupervised learning?,"Supervised learning involves training a model on labeled data, while unsupervised learning deals with unlabeled data to find patterns and structures."
What are the steps involved in a machine learning project?,"The steps include data collection, data preprocessing, feature engineering, model selection, training, evaluation, and deployment."
Explain the bias-variance tradeoff in machine learning.,The bias-variance tradeoff deals with balancing underfitting (high bias) and overfitting (high variance) in a model.
"What is overfitting, and how can it be prevented?",Overfitting occurs when a model performs well on training data but poorly on new data. It can be prevented by using regularization techniques and cross-validation.
Describe the ROC curve and AUC (Area Under the Curve).,"The ROC curve is a graphical representation of a classifier's performance, and AUC is the area under the ROC curve, indicating the model's overall quality."
What are the main evaluation metrics for classification and regression models?,"Common evaluation metrics for classification include accuracy, precision, recall, F1 score, and for regression, mean squared error (MSE) and R-squared."
"What is cross-validation, and why is it important?",Cross-validation helps estimate a model's performance by partitioning the data into subsets for training and testing.
How does the k-nearest neighbors (KNN) algorithm work?,KNN predicts the class of an unknown data point based on the majority class of its k-nearest neighbors.
"What is the curse of dimensionality, and how does it affect machine learning?",The curse of dimensionality refers to the increased difficulty of data analysis in high-dimensional spaces.
"What is regularization, and why is it used in machine learning?",Regularization is a technique used to prevent overfitting by adding penalties to the model's parameters during training.
Describe the difference between L1 and L2 regularization.,"L1 regularization adds the absolute value of the coefficients, while L2 regularization adds the squared values of the coefficients."
What is the difference between bagging and boosting?,"Bagging builds multiple models independently and averages their predictions, while boosting builds models sequentially and focuses on correcting mistakes."
How does the gradient descent algorithm work?,Gradient descent optimizes the model's parameters by iteratively updating them in the direction of the steepest descent of the loss function.
What is the role of the learning rate in gradient descent?,"The learning rate controls the step size in gradient descent, affecting the convergence speed and stability of the optimization process."
Explain the concept of backpropagation in neural networks.,Backpropagation is the process of updating the neural network's weights by propagating the error backward from the output to the input layer.
"What are activation functions in neural networks, and why are they necessary?",Activation functions introduce non-linearity to the neural network and enable it to learn complex relationships.
What is the vanishing gradient problem in deep learning?,"The vanishing gradient problem occurs in deep networks when the gradients become too small during backpropagation, hindering learning."
"What is dropout, and how does it help prevent overfitting in neural networks?",Dropout randomly drops out neurons during training to reduce interdependence and prevent overfitting.
"What is transfer learning, and when is it useful?","Transfer learning uses pre-trained models to solve related tasks, saving time and resources."
Explain the difference between a generative and discriminative model.,"A generative model learns the data distribution, while a discriminative model learns the decision boundary between classes."
"What are support vector machines (SVMs), and how do they work?",SVMs find the optimal hyperplane that best separates data into different classes in high-dimensional space.
How does the decision tree algorithm handle continuous and categorical features?,Decision trees handle continuous features by selecting thresholds and categorical features through attribute splitting.
"What is ensemble learning, and what are its benefits?",Ensemble learning combines multiple models to achieve better performance than individual models.
