Questions,Answers
"What is the difference between JDK, JRE, and JVM?","JDK (Java Development Kit) is a software development environment that includes tools for developing, debugging, and monitoring Java applications. JRE (Java Runtime Environment) is a runtime environment that allows Java applications to be executed. JVM (Java Virtual Machine) is an abstract machine that enables Java bytecode to be executed on any platform."
"Explain the principle of Write Once, Run Anywhere (WORA) in Java.","Write Once, Run Anywhere (WORA) is a key principle of Java, which means that compiled Java code can run on any platform that has a Java Virtual Machine (JVM) without modification."
What are the main characteristics of Java that make it platform-independent?,"The main characteristics of Java that make it platform-independent are the use of bytecode and the JVM. Java code is compiled into bytecode, which is a platform-independent intermediate form. The JVM interprets the bytecode and executes it on any platform."
What is the difference between static and non-static methods in Java?,Static methods belong to the class and can be called without creating an instance of the class. Non-static methods belong to instances of the class and require an object to be called.
What are wrapper classes in Java? Give examples.,"Wrapper classes in Java are used to convert primitive data types into objects and vice versa. Examples include Integer, Double, Boolean, etc."
What is the difference between an abstract class and an interface in Java?,An abstract class is a class that cannot be instantiated and may contain abstract methods that must be implemented by its subclasses. An interface is a collection of abstract methods and constants that a class can implement.
How is Java memory managed? Explain garbage collection.,Java memory management is the process of allocating and deallocating memory for objects and reclaiming memory occupied by objects that are no longer in use. Garbage collection is the automatic process of reclaiming memory used by objects that are no longer referenced by the program.
What is the purpose of the final keyword in Java? Give examples.,"The final keyword can be applied to variables, methods, and classes. A final variable cannot be changed, a final method cannot be overridden, and a final class cannot be subclassed."
What is the use of the synchronized keyword in Java?,The synchronized keyword is used for achieving thread synchronization in Java. It ensures that only one thread can access a synchronized block or method at a time.
What are the different types of class loaders in Java?,"The different types of class loaders in Java are the Bootstrap class loader, Extension class loader, and Application class loader."
Explain the significance of the main() method in Java.,The main() method in Java is the entry point of a Java program. It is the method that is called when the Java program is started.
What are the different types of exceptions in Java? Explain checked and unchecked exceptions.,"In Java, there are two types of exceptions: checked exceptions and unchecked exceptions. Checked exceptions are checked at compile-time and must be either caught or declared in the method signature using the 'throws' keyword. Unchecked exceptions (RuntimeExceptions) do not need to be caught or declared."
How do you handle exceptions in Java using try-catch blocks?,"Exceptions can be handled in Java using try-catch blocks. Code that may throw an exception is placed inside the try block, and if an exception is thrown, it is caught and handled in the catch block."
What is method overloading in Java? Provide an example.,Method overloading is a feature in Java that allows a class to have multiple methods with the same name but different parameter lists.
What is method overriding in Java? Provide an example.,Method overriding is a feature in Java that allows a subclass to provide a specific implementation for a method that is already defined in its superclass.
What is the difference between equals() and == in Java?,"The '==' operator compares object references, while the .equals() method compares the content of objects."
How do you create and use threads in Java?,Threads in Java are lightweight sub-processes within a Java process that allow concurrent execution of code.
Explain the concept of thread synchronization in Java.,"Thread synchronization in Java is the process of ensuring that only one thread can access a shared resource at a time, preventing data inconsistency and race conditions."
What are the ways to achieve thread synchronization in Java?,"Thread synchronization can be achieved in Java using synchronized methods, synchronized blocks, and locks from the java.util.concurrent package."
What is the purpose of the wait() and notify() methods in Java threading?,"The wait() and notify() methods are used for inter-thread communication and synchronization in Java. The wait() method is used to make a thread wait until another thread notifies it, while the notify() method is used to wake up a waiting thread."
What is the use of the volatile keyword in Java?,"The volatile keyword in Java is used to mark a variable as not being stored in a processor's cache, ensuring that any change to the variable is immediately visible to other threads."
How does the Java Memory Model ensure thread safety?,The Java Memory Model (JMM) ensures thread safety by defining the rules and guarantees for how threads interact with memory while executing Java programs.
What is the purpose of the StringBuilder class in Java?,"The StringBuilder class in Java is used to create mutable sequences of characters. It provides methods to append, insert, and delete characters from the sequence."
Explain the difference between ArrayList and LinkedList in Java.,"The ArrayList and LinkedList are both implementations of the List interface in Java. The main difference between them is that ArrayList is backed by an array, while LinkedList is backed by a doubly-linked list."
What is the Collections Framework in Java? Name some core interfaces.,The Collections Framework in Java is a set of classes and interfaces that provides an architecture for managing and manipulating collections of objects.
What is the difference between a HashMap and a Hashtable in Java?,"The HashMap and Hashtable are both implementations of the Map interface in Java. The main differences between them are that HashMap is not synchronized and allows null keys and values, while Hashtable is synchronized and does not allow null keys or values."
What is the Comparable interface in Java? How is it used for sorting?,The Comparable interface in Java is used to impose a natural ordering on a class. Classes that implement the Comparable interface can be sorted using the Collections.sort() method.
Explain the difference between static and instance initialization blocks in Java.,Static initialization blocks are executed when the class is loaded into the JVM. Instance initialization blocks are executed when an object of the class is created.
What is a lambda expression in Java 8? How is it used?,Lambda expressions are a new feature introduced in Java 8 that allow you to express instances of single-method interfaces more concisely.
What are functional interfaces in Java 8? Give examples.,Functional interfaces in Java 8 are interfaces that have exactly one abstract method. They can be used with lambda expressions and method references.
What is the difference between a stream and a collection in Java 8?,A stream in Java 8 is a sequence of elements that can be processed in a functional and declarative way.
How does the Stream API improve performance in Java 8?,"The Stream API improves performance in Java 8 by enabling parallel processing of data, which takes advantage of multi-core processors."
What are the new features introduced in Java 9?,"The new features introduced in Java 9 include the module system, JShell (REPL), improved HTTP client, and enhancements in the Stream API and Process API."
Explain the module system introduced in Java 9.,"The module system in Java 9 allows you to encapsulate code into modules, enforcing strong encapsulation and managing dependencies."
What is JShell in Java 9? How does it help developers?,"JShell is a new feature in Java 9 that provides a Read-Eval-Print Loop (REPL) for Java, allowing developers to experiment and test code interactively."
What are the private interface methods introduced in Java 9?,Private interface methods were introduced in Java 9 to enable default methods in interfaces to be reused and refactored as private methods.
How is the var keyword used for type inference in Java 10?,"The var keyword in Java 10 is used for type inference, allowing the compiler to infer the type of a local variable from its initializer."
"What is the difference between a String, StringBuilder, and StringBuffer in Java?","In Java, a String is an immutable sequence of characters, a StringBuilder is a mutable sequence of characters that is not thread-safe, and a StringBuffer is a mutable sequence of characters that is thread-safe."
What are the different types of JDBC drivers in Java? Explain each type.,"There are four types of JDBC drivers: Type 1 (JDBC-ODBC bridge), Type 2 (Native API), Type 3 (Network Protocol), and Type 4 (Pure Java)."
How do you connect to a database using JDBC in Java?,"To connect to a database using JDBC in Java, you need to load the appropriate JDBC driver, establish a connection using DriverManager.getConnection(), and create a Statement or PreparedStatement to execute SQL queries."
What is the role of the DriverManager class in JDBC?,"The DriverManager class in JDBC is used to manage a list of JDBC drivers, which can be used to establish a database connection."
What are the different types of statements in JDBC? Explain.,"The different types of statements in JDBC are Statement, PreparedStatement, and CallableStatement."
How do you handle transactions in JDBC?,Transactions in JDBC can be handled using the Connection object's commit() and rollback() methods.
"Explain the difference between the execute(), executeQuery(), and executeUpdate() methods in JDBC.","The execute() method in JDBC is used to execute SQL statements that may return multiple results, the executeQuery() method is used to execute SQL queries that return a single ResultSet, and the executeUpdate() method is used to execute SQL statements that modify data."
